Time Speed (cm/s),Speed (cm/s),Time Running Definition,Running Definition
0.0,14.4727,0.0,0.0
0.25,14.472666666666665,0.25,0.0
0.5,9.246383333333334,0.5,0.0
0.75,11.715928571428572,0.75,0.0
1.0,5.628233333333333,1.0,0.0
1.25,7.2363,1.25,0.0
1.5,8.040333333333333,1.5,0.0
1.75,8.959228571428572,1.75,0.0
2.0,11.256499999999999,2.0,0.0
2.25,15.276716666666665,2.25,0.0
2.5,10.452466666666666,2.5,0.0
2.75,11.026757142857143,2.75,0.0
3.0,8.442350000000001,3.0,0.0
3.25,14.472649999999998,3.25,0.0
3.5,12.06055,3.5,0.0
3.75,12.749699999999999,3.75,0.0
4.0,12.864583333333332,4.0,0.0
4.25,12.864583333333332,4.25,0.0
4.5,16.48278333333333,4.5,0.0
4.75,13.094299999999999,4.75,0.0
5.0,13.668633333333332,5.0,0.0
5.25,16.482783333333334,5.25,0.0
5.5,13.2666,5.5,0.0
5.75,14.128085714285714,5.75,0.0
6.0,18.492866666666668,6.0,0.0
6.25,14.874666666666666,6.25,0.0
6.5,16.08075,6.5,0.0
6.75,13.438914285714285,6.75,0.0
7.0,12.060533333333334,7.0,0.0
7.25,9.6484,7.25,0.0
7.5,10.85445,7.5,0.0
7.75,14.817242857142856,7.75,0.0
8.0,11.256516666666666,8.0,0.0
8.25,0.4020166666666667,8.25,0.0
8.5,0.0,8.5,0.0
8.75,2.0675142857142856,8.75,0.0
9.0,7.638316666666667,9.0,0.0
9.25,8.442383333333334,9.25,0.0
9.5,13.668616666666665,9.5,0.0
9.75,13.094314285714285,9.75,0.0
10.0,13.668616666666667,10.0,0.0
10.25,18.492866666666664,10.25,0.0
10.5,12.462566666666666,10.5,0.0
10.75,14.817271428571429,10.75,0.0
11.0,17.2868,11.0,0.0
11.25,13.668616666666667,11.25,0.0
11.5,17.688833333333335,11.5,0.0
11.75,14.128071428571428,11.75,0.0
12.0,11.658516666666667,12.0,0.0
12.25,11.658516666666667,12.25,0.0
12.5,13.266599999999999,12.5,0.0
12.75,11.715957142857143,12.75,0.0
13.0,11.6585,13.0,0.0
13.25,11.658516666666667,13.25,0.0
13.5,8.04035,13.5,0.0
13.75,8.959228571428572,13.75,0.0
14.0,10.452433333333333,14.0,0.0
14.25,12.864583333333334,14.25,0.0
14.5,10.854483333333334,14.5,0.0
14.75,16.8848,14.75,0.0
15.0,13.2666,15.0,0.0
15.25,12.06055,15.25,0.0
15.5,11.658516666666666,15.5,0.0
15.75,11.026757142857143,15.75,0.0
16.0,11.256499999999999,16.0,0.0
16.25,8.442350000000001,16.25,0.0
16.5,11.256499999999999,16.5,0.0
16.75,7.2363,16.75,0.0
17.0,1.6080666666666668,17.0,0.0
17.25,5.628233333333333,17.25,0.0
17.5,-0.4020166666666667,17.5,0.0
17.75,5.857957142857143,17.75,0.0
18.0,8.442350000000001,18.0,0.0
18.25,12.864583333333332,18.25,0.0
18.5,16.08075,18.5,0.0
18.75,5.513385714285715,18.75,0.0
19.0,12.864583333333332,19.0,0.0
19.25,10.050433333333332,19.25,0.0
