Low,High,Low,High
3.05632606426755,3.23417572532981,3.24790101877122,3.25183234413197
3.07982520201058,3.26454863414059,3.24994267281416,3.24172539020081
3.07832716838472,3.27757605846948,3.25921793764704,3.24852883942478
,,3.25120830632967,3.25181437337917
,,3.25444842536689,3.24583251936730
,,3.25622599154702,3.25014844196639
,,3.21627779490987,3.24392281232307
,,3.24262919617165,3.24778167892638
,,3.24630846553452,3.24298899979504
,,3.23943005458418,3.24531150162671
,,3.23999813822885,3.24207636864713
,,3.23191681845728,3.23810849383555
,,3.24312248532582,3.24488834549875
,,3.25304054001091,3.24329726987840
,,3.23910120332426,3.25229213076123
,,3.26330020561020,3.24272174991027
,,3.26539859775057,3.25121311432703
,,3.24442305794250,3.24490905442809
,,3.25918573661561,3.25635951460408
,,3.25234190013430,3.24359224317364
,,3.24236075238363,3.24661091437126
,,3.25443557883595,3.23811326997305
,,3.24007714376319,3.24183064353532
,,3.25494869881930,3.23691586324873
,,3.23699109655355,3.25432688038396
,,3.23242218552142,3.24312496144108
,,3.22320633394669,3.25656877677529
,,3.25430864387801,3.25091267291136
,,3.25820319474055,3.24010167827372
,,3.24401601727650,3.24732932768092
,,3.25178945118835,3.25117199565271
,,3.24750306208371,3.24369163093573
,,3.24270528990952,3.23942032478374
,,3.25849386103640,3.24105971834880
,,3.27216953965851,3.25331274294075
,,3.23294104237177,3.23695717299398
,,3.23570082175447,3.23995788200612
,,3.24884889990810,3.25530187335577
,,3.24112345283964,3.24482221172663
,,3.23189481973238,3.24598997467703
,,3.25485472420141,3.24300594839078
,,3.21514205234336,3.23922111884377
,,3.25016098625352,3.25363736440715
,,3.23776313196296,3.25295671496097
,,3.23689107644640,3.25393031019717
,,3.24576717284343,3.26369670073434
,,3.24876378932939,3.25117089625499
,,3.26860595587316,3.24007137691942
,,3.25251328859699,3.24723185275403
,,3.26060694179792,3.23473038902025
,,3.25035759966876,3.24360613680462
,,3.26548709198385,3.24307220044906
,,3.24852587672184,3.24403302872675
,,3.24379087745435,3.25123807522341
,,3.26750864034698,3.24269598314347
,,3.24900506488164,3.24156412293371
,,3.26144958986142,3.23995604984406
,,3.25207279580690,3.26042459644054
,,3.23561930310938,3.24780569200452
,,3.23739966538867,3.24623836725824
,,3.25044760520632,3.24730431796963
,,3.24380238561506,3.24740945685142
,,3.26939065469784,3.24293756525996
,,3.24916875247786,3.24094911034822
,,3.21198412796772,3.24645852953455
,,3.25304917712193,3.24337035444253
,,3.24209024378260,3.25442530696489
,,3.26556823317566,3.25106956358810
,,3.23876027514801,3.23979805443759
,,3.24897966563335,3.24958337054406
,,3.23171442141980,3.25596441800238
,,3.23606630037390,3.24816566250139
,,3.23568277282157,3.24589999016848
,,3.23112682274731,3.24407658279775
,,3.24831641186944,3.24392668152006
,,3.20636378111763,3.24500759658632
,,3.25184262396317,3.23819935001225
,,3.25659725590535,3.24637083376155
,,3.24158640433383,3.24349679772245
