,Low,High
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
0.10000000000000,3.89783650962141,
0.33333333000000,3.87786799591475,
0.56666667000000,3.88045956617040,
0.78333333000000,3.90786672917851,
1.01666667000000,3.90261572467721,
1.23333333000000,3.92742652179597,
1.46666667000000,3.89477932029599,
1.70000000000000,3.94795057628952,
1.93333333000000,3.87295026424401,
2.15000000000000,3.92660177695667,
2.38333333000000,3.91995044504522,
2.60000000000000,3.92405285449237,
2.83333333000000,3.88797561814788,
3.06666667000000,3.90086702701771,
3.28333333000000,3.92869497975818,
3.51666667000000,3.88197504732489,
3.73333333000000,3.88188076250226,
3.96666667000000,4.06088336984285,
4.18333333000000,4.06712926244216,
4.41666667000000,4.08293300689172,
4.63333333000000,4.06496773520090,
4.86666667000000,4.06256836590785,
5.10000000000000,4.05727170009517,
5.33333333000000,4.07573132689475,
5.55000000000000,4.04865427223778,
5.78333333000000,4.06463110529246,
6.00000000000000,4.07177167789600,
6.23333333000000,4.06835246051049,
6.45000000000000,4.06551344045865,
6.68333333000000,4.06488119798490,
6.91666667000000,4.06815003325113,
7.13333333000000,4.06026383902102,
7.36666667000000,4.04043703398033,
7.60000000000000,4.06222009663430,
7.81666667000000,4.04875162736507,
8.05000000000000,4.07625240529070,
8.28333333000000,4.03004742567977,
8.50000000000000,4.05759482542487,
8.73333333000000,4.04430414146647,
8.95000000000000,4.08001256750784,
9.18333333000000,4.05961278159808,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
0.00000000000000,,3.91559993742829
0.21666667000000,,3.89686317525031
0.45000000000000,,3.87964484146456
0.68333333000000,,3.88578607394507
0.90000000000000,,3.86833914069930
1.13333333000000,,3.87207698232459
1.35000000000000,,3.85833504853066
1.58333333000000,,3.88592541885712
1.81666667000000,,3.88116318151185
2.03333333000000,,3.89318974544152
2.26666667000000,,3.87278028861057
2.50000000000000,,3.90321192029551
2.71666667000000,,3.90611686445286
2.95000000000000,,3.90305202690681
3.16666667000000,,3.89937028183893
3.40000000000000,,3.92437495616511
3.61666667000000,,3.87207602980960
3.85000000000000,,4.03949790882889
4.08333333000000,,4.06001713695829
4.30000000000000,,4.04953623776152
4.53333333000000,,4.03412676044123
4.75000000000000,,4.05330097463444
4.98333333000000,,4.03762791805056
5.21666667000000,,4.05819924288647
5.45000000000000,,4.04491042095309
5.66666667000000,,4.04446290180337
5.90000000000000,,4.06003340092882
6.11666667000000,,4.06332351454291
6.35000000000000,,4.06444244471688
6.56666667000000,,4.04181482571138
6.80000000000000,,4.06458910418053
7.03333333000000,,4.06449216168795
7.25000000000000,,4.06153021471013
7.48333333000000,,4.03462929656085
7.70000000000000,,4.05654360685685
7.93333333000000,,4.03017576247569
8.16666667000000,,4.04813989126718
8.38333333000000,,4.05011333178044
8.61666667000000,,4.07897819233015
8.85000000000000,,4.05078461462720
9.06666667000000,,4.06103230169106
9.30000000000000,,4.06817156610970
